20 min	2017-03	Nutzungsdauer	0:07:13
20 min	2017-03	Visits	86628354
20 min	2017-03	Visits/UCs	18.1
20 min	2017-04	CH PIs	90-94%
20 min	2017-04	CH Visits	90-94%
20 min	2017-04	PI/Visits	11.0
20 min	2017-04	Page Impressions	901313954
20 min	2017-04	Unique Clients	4583000
20 min	2017-04	Nutzungsdauer	0:07:14
20 min	2017-04	Visits	82036752
20 min	2017-04	Visits/UCs	17.9
20 min	2017-05	CH PIs	90-94%
20 min	2017-05	CH Visits	90-94%
20 min	2017-05	PI/Visits	11.2
20 min	2017-05	Page Impressions	957115491
20 min	2017-05	Unique Clients	4569000
20 min	2017-05	Nutzungsdauer	0:07:13
20 min	2017-05	Visits	85759443
20 min	2017-05	Visits/UCs	18.8
20 min	2017-06	CH PIs	90-94%
20 min	2017-06	CH Visits	90-94%
20 min	2017-06	PI/Visits	11.0
20 min	2017-06	Page Impressions	932218826
20 min	2017-06	Unique Clients	4517000
20 min	2017-06	Nutzungsdauer	0:07:13
20 min	2017-06	Visits	84670006
20 min	2017-06	Visits/UCs	18.7
20 min	2017-07	CH PIs	85-89%
20 min	2017-07	CH Visits	85-89%
20 min	2017-07	PI/Visits	11.1
20 min	2017-07	Page Impressions	957842630
20 min	2017-07	Unique Clients	4635000
20 min	2017-07	Nutzungsdauer	0:07:19
20 min	2017-07	Visits	86150970
20 min	2017-07	Visits/UCs	18.6
20 min	2017-08	CH PIs	90-94%
20 min	2017-08	CH Visits	90-94%
20 min	2017-08	PI/Visits	11.4
20 min	2017-08	Page Impressions	1037581295
20 min	2017-08	Unique Clients	4771000
20 min	2017-08	Nutzungsdauer	0:07:20
20 min	2017-08	Visits	91283004
20 min	2017-08	Visits/UCs	19.1
20 min	2017-09	CH PIs	90-94%
20 min	2017-09	CH Visits	90-94%
20 min	2017-09	PI/Visits	9.9
20 min	2017-09	Page Impressions	874322806
20 min	2017-09	Unique Clients	4729000
20 min	2017-09	Nutzungsdauer	0:07:09
20 min	2017-09	Visits	88519071
20 min	2017-09	Visits/UCs	18.7
20 min	2017-10	CH PIs	90-94%
20 min	2017-10	CH Visits	90-94%
20 min	2017-10	PI/Visits	10.5
20 min	2017-10	Page Impressions	926531485
20 min	2017-10	Unique Clients	4783000
20 min	2017-10	Nutzungsdauer	0:07:04
20 min	2017-10	Visits	88034301
20 min	2017-10	Visits/UCs	18.4
BAZ	2016-10	CH PIs	80-84%
BAZ	2016-10	CH Visits	75-79%
BAZ	2016-10	PI/Visits	5.4
BAZ	2016-10	Page Impressions	21462068
BAZ	2016-10	Unique Clients	478000
BAZ	2016-10	Nutzungsdauer	0:09:38
BAZ	2016-10	Visits	3994700
