Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
1815.ch;131000;630915;90-94%;0:04:14;1521222;;364;1815ch;
1815.ch - rz-online.ch;;;;;;;;1815ch;
1815.ch - walliserbote.ch;;;;;;;;1815ch;
20 Minuten Friday;868000;2355597;90-94%;0:01:50;3672197;;467;frimag;
20 Minuten Tilllate;1285000;3895069;90-94%;0:01:35;33288523;;79;tilllate;
20 minutes Friday;280000;921878;90-94%;0:02:30;1229352;;481;frimagfr;
20min.ch - D-CH;4601000;79661711;90-94%;0:07:24;872608215;;136;20minde;
20min.ch - W-CH;1580000;25226869;85-89%;0:07:20;199738974;;220;20minro;
24heures.ch;778000;3438555;80-84%;0:03:56;11829675;;256;24heures;
24heures.ch - Hommages.ch;;;;;;;;24heures;
3plus.tv;68000;128496;75-79%;0:04:13;382143;;400;3plus;
3plus.tv - 4plus.tv;;;;;;;;3plus;
3plus.tv - 5plus.tv;;;;;;;;3plus;
Accrowin.ch;16000;64481;90-94%;0:10:11;681836;;506;accrowin;
Anibis.ch;1677000;6993322;85-89%;0:08:13;86089150;;431;anibis;
Anibis.ch - gratis-inserate.ch;;;;;;;;anibis;
annabelle.ch;188000;313349;70-74%;0:02:09;1222078;;224;annabe;
annabelle.ch - eBalance;;;;;;;;annabe;
arcinfo.ch;248000;1228388;85-89%;0:05:07;8550382;;295;arcinfo;
arcinfo.ch - pilote.ch;;;;;;;;arcinfo;
argovia.ch;34000;120462;90-94%;0:04:05;272076;;480;argovia;
argovia.ch - argoviafaescht.ch;;;;;;;;argovia;
argovia.ch - bigprize.ch;;;;;;;;argovia;
argovia.ch - wallstreet24.ch ;;;;;;;;argovia;
aufeminin.ch,gofeminin.ch,alfemminile.ch;1346000;2712980;75-79%;0:02:34;10540091;;320;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - alfemminile.ch ;;;;;505'044;;;aufemin;
