Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
1815.ch;108000;556482;90-94%;0:04:02;1339624;;364;1815ch;
1815.ch - rz-online.ch;;;;;;;;1815ch;
1815.ch - walliserbote.ch;;;;;;;;1815ch;
20 Minuten Friday;886000;2335004;90-94%;0:02:04;3365375;;467;frimag;
20 Minuten Tilllate;1250000;3712150;90-94%;0:01:24;24695526;;79;tilllate;
20 minutes Friday;279000;874266;85-89%;0:02:33;1173004;;481;frimagfr;
20min.ch - D-CH;4812000;86864639;90-94%;0:07:01;895560134;;136;20minde;
20min.ch - W-CH;1604000;27608124;85-89%;0:07:18;196457772;;220;20minro;
24heures.ch;693000;2858810;80-84%;0:03:55;9784606;;256;24heures;
24heures.ch - Hommages.ch;;;;;;;;24heures;
3plus.tv;125000;302384;80-84%;0:04:24;987071;;400;3plus;
3plus.tv - 4plus.tv;;;;;;;;3plus;
3plus.tv - 5plus.tv;;;;;;;;3plus;
Accrowin.ch;26000;90680;90-94%;0:09:04;885167;;506;accrowin;
Accrowin.ch - schweiz-wettbewerb.ch;;;;;;;;accrowin;
Anibis.ch;1686000;8536465;85-89%;0:08:12;92364343;;431;anibis;
annabelle.ch;202000;324047;70-74%;0:02:11;1282724;;224;annabe;
annabelle.ch - eBalance;;;;;;;;annabe;
arcinfo.ch;289000;1454929;85-89%;0:03:58;9733427;;295;arcinfo;
argovia.ch;60000;221147;90-94%;0:04:51;747986;;480;argovia;
aufeminin.ch,gofeminin.ch,alfemminile.ch;817000;1561620;95-100%;0:02:48;5117396;;320;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - alfemminile.ch ;;;;;255'737;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - aufeminin.ch;;;;;914'065;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - gofeminin.ch;;;;;2'532'873;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - marmiton;;;;;890'896;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - onmeda;;;;;523'802;;;aufemin;
AutoScout24;1989000;13415912;80-84%;0:09:43;194768806;;373;autosct;
AutoScout24 - Anibis;;;;;;;;autosct;
avguide.ch;24000;57711;50-54%;0:04:05;173558;;252;avguide;
baslerzeitung.ch;660000;4089152;75-79%;0:06:03;19927565;;13;baz;
Beobachter;893000;1384085;80-84%;0:03:38;2364243;;9;beobacht;
Beobachter - Community;;;;;;;;beobacht;
Beobachter - Gesundheit;;;;;;;;beobacht;
Beobachter - Guider;;;;;;;;beobacht;
Beobachter - Magazin;;;;;;;;beobacht;
Beobachter - Natur;;;;;;;;beobacht;
bernerzeitung.ch;688000;2931483;90-94%;0:03:49;11933240;;254;bernerz;
bernerzeitung.ch - berneroberlaender.ch    ;;;;;;;;bernerz;
bernerzeitung.ch - langenthalertagblatt.ch;;;;;;;;bernerz;
bernerzeitung.ch - thunertagblatt.ch;;;;;;;;bernerz;
Bielertagblatt.ch;83000;190210;85-89%;0:03:03;528474;;17;bielertb;
Bilan;251000;439536;25-49%;0:03:41;728783;;85;bilan;
bilanz.ch;188000;287465;70-74%;0:02:42;912433;;10;bilanz;
Blick am Abend;1088000;4443051;90-94%;0:03:04;14067267;;446;baaonl;
Blick Online;4460000;59821863;90-94%;0:06:02;755566727;;183;blickonl;
Bluewin;2667000;36724474;90-94%;0:08:19;226689407;;204;bluewin;
Bonresto.ch;16000;21194;90-94%;0:02:47;54231;;61;bonrest;
caffe.ch;19000;33550;70-74%;0:04:28;67821;;408;caffe;
canal3.ch;8000;17057;90-94%;0:03:36;33671;;436;canal3;
cash.ch;408000;3203668;85-89%;0:06:44;13474564;;115;cash;
Cineman.ch;661000;1244843;90-94%;0:03:47;4953236;;275;cineman;
Cineman.ch - cine.ch;;;;;;;;cineman;
comparis.ch;2070000;7427737;90-94%;0:05:37;75776095;;111;comparis;
Computerworld Online;44000;82122;75-79%;0:03:38;147263;;181;idgcompu;
Coopzeitung.ch;286000;493566;85-89%;0:02:45;2639525;;473;coopz;
Corriere del Ticino;291000;1775528;80-84%;0:03:54;8927471;;99;cdt;
Der Landbote;94000;237958;85-89%;0:03:34;736389;;74;winti;
derbund.ch;486000;2087101;90-94%;0:05:32;8893301;;304;derbund;
doodle.com;1568000;5233704;95-100%;0:05:31;11835258;;288;doodle;
energy.ch;358000;2029247;90-94%;0:04:09;17782727;;244;energyzh;
familienleben.ch;311000;433849;65-69%;0:02:21;975621;;339;famleben;
femelle.ch;261000;344152;25-49%;0:02:12;1137603;;461;femleb;
Femina.ch;224000;417135;55-59%;0:02:10;1413294;;180;femina;
finanzen.ch;631000;2781276;85-89%;0:04:49;11320757;;417;finanzen;
finews.ch;177000;580400;75-79%;0:04:42;1346494;;361;finews;
FIT for LIFE;13000;21016;70-74%;0:03:35;48801;;296;fitlife;
flughafen-zuerich.ch;481000;1046824;70-74%;0:04:52;2489582;;279;flughafe;
FM1Today;196000;1438496;90-94%;0:03:48;4240150;;483;fm1today;
FM1Today - Radio Melody;;;;;;;;fm1today;
freiburger-nachrichten.ch;51000;127972;85-89%;0:03:29;296361;;374;freiburg;
freizeit.ch;109000;157978;85-89%;0:02:37;413261;;505;freizeit;
fuw.ch;192000;784104;75-79%;0:05:26;2244938;;227;fininfo;
gameswelt.ch;39000;83701;95-100%;0:04:30;192993;;274;gamewelt;
Giornale del Popolo;36000;84203;60-64%;0:07:26;202273;;98;gdp;
glueckspost.ch;48000;85518;75-79%;0:03:36;251613;;398;gluecksp;
