Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
1815.ch;130000;613009;90-94%;0:04:01;1441805;;364;1815ch;
1815.ch - rz-online.ch;;;;;;;;1815ch;
1815.ch - walliserbote.ch;;;;;;;;1815ch;
20 Minuten Friday;893000;2310967;90-94%;0:01:58;3370335;;467;frimag;
20 Minuten Tilllate;1203000;3544182;90-94%;0:01:12;20356931;;79;tilllate;
20 minutes Friday;260000;834688;85-89%;0:02:28;1101960;;481;frimagfr;
20min.ch - D-CH;4783000;88034301;90-94%;0:07:04;926531485;;136;20minde;
20min.ch - W-CH;1646000;28965835;85-89%;0:07:12;209977452;;220;20minro;
24heures.ch;704000;2913698;80-84%;0:03:50;10677770;;256;24heures;
24heures.ch - Hommages.ch;;;;;;;;24heures;
3plus.tv;136000;292161;85-89%;0:04:20;1069068;;400;3plus;
3plus.tv - 4plus.tv;;;;;;;;3plus;
3plus.tv - 5plus.tv;;;;;;;;3plus;
Accrowin.ch;20000;76238;90-94%;0:10:01;791687;;506;accrowin;
Accrowin.ch - schweiz-wettbewerb.ch;;;;;;;;accrowin;
Anibis.ch;1616000;8506407;85-89%;0:08:06;88253348;;431;anibis;
annabelle.ch;193000;312331;65-69%;0:02:10;1177465;;224;annabe;
annabelle.ch - eBalance;;;;;;;;annabe;
arcinfo.ch;342000;1578838;85-89%;0:03:14;10504688;;295;arcinfo;
argovia.ch;55000;207218;90-94%;0:04:58;666010;;480;argovia;
aufeminin.ch,gofeminin.ch,alfemminile.ch;907000;1819191;95-100%;0:03:03;5295306;;320;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - alfemminile.ch ;;;;;334'500;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - aufeminin.ch;;;;;1'153'968;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - gofeminin.ch;;;;;2'195'247;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - marmiton;;;;;1'064'764;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - onmeda;;;;;546'782;;;aufemin;
AutoScout24;2024000;13576569;80-84%;0:09:42;200114759;;373;autosct;
AutoScout24 - Anibis;;;;;;;;autosct;
avguide.ch;23000;55303;55-59%;0:04:05;162623;;252;avguide;
baslerzeitung.ch;710000;4280954;70-74%;0:05:54;20159049;;13;baz;
Beobachter;871000;1344640;80-84%;0:03:28;2328168;;9;beobacht;
Beobachter - Community;;;;;;;;beobacht;
Beobachter - Gesundheit;;;;;;;;beobacht;
Beobachter - Guider;;;;;;;;beobacht;
Beobachter - Magazin;;;;;;;;beobacht;
Beobachter - Natur;;;;;;;;beobacht;
bernerzeitung.ch;666000;2873184;85-89%;0:03:53;12520506;;254;bernerz;
bernerzeitung.ch - berneroberlaender.ch    ;;;;;;;;bernerz;
bernerzeitung.ch - langenthalertagblatt.ch;;;;;;;;bernerz;
bernerzeitung.ch - thunertagblatt.ch;;;;;;;;bernerz;
Bielertagblatt.ch;77000;172548;80-84%;0:02:57;456929;;17;bielertb;
Bilan;220000;395594;50-54%;0:03:51;642928;;85;bilan;
bilanz.ch;168000;265610;65-69%;0:02:43;871516;;10;bilanz;
Blick am Abend;1201000;4798157;85-89%;0:02:55;15027690;;446;baaonl;
Bluewin;2605000;35846532;90-94%;0:08:19;217713223;;204;bluewin;
Bonresto.ch;19000;24892;90-94%;0:02:53;64443;;61;bonrest;
caffe.ch;19000;34841;70-74%;0:04:18;70255;;408;caffe;
canal3.ch;8000;16335;90-94%;0:03:36;31910;;436;canal3;
cash.ch;374000;3066350;85-89%;0:06:47;12893409;;115;cash;
Cineman.ch;643000;1230346;85-89%;0:03:44;4870237;;275;cineman;
Cineman.ch - cine.ch;;;;;;;;cineman;
comparis.ch;1967000;7352864;90-94%;0:06:02;80595203;;111;comparis;
Computerworld Online;44000;83485;70-74%;0:03:42;154320;;181;idgcompu;
Coopzeitung.ch;260000;446173;85-89%;0:02:38;2328514;;473;coopz;
Corriere del Ticino;295000;1848102;75-79%;0:03:54;8976853;;99;cdt;
Der Landbote;93000;231509;85-89%;0:03:35;713694;;74;winti;
derbund.ch;475000;2136121;85-89%;0:05:40;9916571;;304;derbund;
doodle.com;1465000;4800222;95-100%;0:05:41;7810008;;288;doodle;
energy.ch;320000;1856098;85-89%;0:04:17;16023311;;244;energyzh;
events.ch;31000;37647;90-94%;0:02:02;94573;;433;events;
familienleben.ch;293000;406483;65-69%;0:02:22;860282;;339;famleben;
femelle.ch;209000;275740;25-49%;0:02:11;910496;;461;femleb;
Femina.ch;227000;393884;55-59%;0:01:56;1493212;;180;femina;
finanzen.ch;587000;2534075;80-84%;0:04:46;10308719;;417;finanzen;
finews.ch;167000;537148;70-74%;0:04:51;1157123;;361;finews;
FIT for LIFE;13000;21927;70-74%;0:03:30;47425;;296;fitlife;
flughafen-zuerich.ch;590000;1334139;70-74%;0:05:12;3267938;;279;flughafe;
FM1Today;218000;1162233;90-94%;0:03:17;5330072;;483;fm1today;
FM1Today - Radio Melody;;;;;;;;fm1today;
freiburger-nachrichten.ch;49000;123149;80-84%;0:03:28;282695;;374;freiburg;
freizeit.ch;164000;237640;85-89%;0:02:50;682716;;505;freizeit;
fuw.ch;178000;812199;75-79%;0:05:10;2251268;;227;fininfo;
gameswelt.ch;34000;74200;95-100%;0:04:32;169673;;274;gamewelt;
Giornale del Popolo;46000;98538;60-64%;0:06:51;216458;;98;gdp;
glueckspost.ch;48000;83316;75-79%;0:03:28;238138;;398;gluecksp;
GMX.ch;1045000;9701283;90-94%;0:09:38;108963499;;307;gmxch;
golfsuisse.ch;60000;227158;90-94%;0:04:29;1565048;;420;golf;
golfsuisse.ch - asg.ch;;;;;;;;golf;
handelszeitung.ch;298000;650735;60-64%;0:03:04;1610935;;31;handelsz;
help.ch;165000;345599;25-49%;0:02:41;713059;;440;help;
help.ch - aktuellenews.ch;;;;;;;;help;
help.ch - autos.ch;;;;;;;;help;
help.ch - beratung.ch;;;;;;;;help;
help.ch - businessadresse.ch;;;;;;;;help;
help.ch - casinos.ch;;;;;;;;help;
help.ch - domainmarktplatz.ch;;;;;;;;help;
help.ch - domainwhois.ch;;;;;;;;help;
help.ch - essen.ch;;;;;;;;help;
help.ch - eventkalender.ch;;;;;;;;help;
help.ch - fachausbildung.ch;;;;;;;;help;
help.ch - firmenneugruendungen.ch;;;;;;;;help;
help.ch - gesundenews.ch;;;;;;;;help;
help.ch - handelsportal.ch;;;;;;;;help;
help.ch - kindernamen.ch;;;;;;;;help;
help.ch - kmugate.ch;;;;;;;;help;
help.ch - kmustartup.ch;;;;;;;;help;
help.ch - krankenversicherung.ch;;;;;;;;help;
help.ch - medical.ch;;;;;;;;help;
help.ch - nightlife.ch;;;;;;;;help;
help.ch - notfallnummern.ch;;;;;;;;help;
help.ch - plz-postleitzahl.com;;;;;;;;help;
help.ch - produktenews.ch;;;;;;;;help;
help.ch - produktesuche.ch;;;;;;;;help;
help.ch - promigate.ch;;;;;;;;help;
help.ch - reisebuero.ch;;;;;;;;help;
help.ch - swiss-press.com;;;;;;;;help;
help.ch - swisskalender.ch;;;;;;;;help;
help.ch - telefonbuch24.ch;;;;;;;;help;
help.ch - videos.ch;;;;;;;;help;
help.ch - werbemarkt-schweiz.com;;;;;;;;help;
