Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
homegate.ch;2183000;8485300;85-89%;0:06:07;191403561;;160;homegate;
homegate.ch - alle-immobilien.ch;;;;;;;;homegate;
homegate.ch - anzeiger.ch;;;;;;;;homegate;
homegate.ch - home.ch;;;;;;;;homegate;
homegate.ch - immo.ch;;;;;;;;homegate;
homegate.ch - ImmoStreet.ch;;;;;;;;homegate;
homegate.ch - neubauprojekte.ch;;;;;;;;homegate;
homegate.ch - tutti.ch;;;;;;;;homegate;
ideesuisse.ch;1000;1831;70-74%;0:02:44;4686;x;197;ideesuis;
Illustré;197000;296262;25-49%;0:01:39;1527111;;168;illustre;
inside-it.ch;56000;138184;75-79%;0:03:49;255935;;214;insideit;
itaste.com;93000;119247;70-74%;0:03:56;171448;;434;itaste;
Journaldujura.ch;34000;67646;75-79%;0:04:40;140309;;207;journal;
Kabel1.ch;74000;113367;95-100%;0:05:02;225827;;123;kabel1;
kitag.com;255000;481232;95-100%;0:04:23;2010195;;326;kitag;
La Côte;158000;376719;80-84%;0:02:31;1428251;;185;lacote;
La Côte - eshmedias.ch;;;;;;;;lacote;
La Liberté;128000;685018;85-89%;0:05:18;6729611;;96;liberte;
laRegione;76000;252218;80-84%;0:03:54;531903;;100;regione;
laRegione - Epaper;;;;;122'270;;;regione;
laRegione - Site;;;;;409'633;;;regione;
Le Nouvelliste;473000;2293587;85-89%;0:02:56;18144879;;88;nouvell;
Le Quotidien Jurassien;33000;223031;85-89%;0:04:46;1730214;;177;lqj;
LE TEMPS;1358000;4024352;50-54%;0:04:04;7171742;;81;letemps;
LeMatin.ch;961000;8530355;80-84%;0:05:18;57228923;;84;lematin;
likemag.com;748000;1866125;60-64%;0:03:45;2485944;;454;likemag;
local.ch;4240000;16122785;90-94%;0:04:17;61593582;;268;local;
loisirs.ch;242000;414523;80-84%;0:03:31;1295641;;259;loisirs;
lokalinfo.ch;12000;19468;75-79%;0:03:27;38280;;444;lokalin;
lokalinfo.ch - Klotener Anzeiger;;;;;4'964;;;lokalin;
lokalinfo.ch - stadt-anzeiger.ch;;;;;2'973;;;lokalin;
Luzerner Zeitung;741000;3807960;85-89%;0:04:10;13696085;;386;lusonz;
Luzerner Zeitung - abopassshop.ch;;;;;;;;lusonz;
Luzerner Zeitung - anzeiger-luzern.ch;;;;;;;;lusonz;
Luzerner Zeitung - beiUns.ch;;;;;;;;lusonz;
Luzerner Zeitung - bote.ch;;;;;1'488'636;;;lusonz;
Luzerner Zeitung - nidwaldnerzeitung.ch;;;;;;;;lusonz;
Luzerner Zeitung - obwaldnerzeitung.ch;;;;;;;;lusonz;
Luzerner Zeitung - regiofussball.ch;;;;;;;;lusonz;
Luzerner Zeitung - rewardo.ch;;;;;;;;lusonz;
Luzerner Zeitung - urnerzeitung.ch;;;;;;;;lusonz;
Luzerner Zeitung - zentraljob.ch;;;;;;;;lusonz;
Luzerner Zeitung - zugerpresse.ch;;;;;;;;lusonz;
Luzerner Zeitung - zugerzeitung.ch;;;;;;;;lusonz;
migrosmagazin.ch, migrosmagazine.ch, azione.ch;244000;470684;85-89%;0:04:00;1861371;;423;migmag;
migusto.ch;455000;710700;85-89%;0:03:03;1724117;;508;migusto;
monetas.ch;143000;195449;70-74%;0:03:18;561503;;460;monetas;
moneyhouse;1221000;2060659;75-79%;0:03:13;5054446;;153;moneyh;
MotoScout24;290000;898473;80-84%;0:05:55;8706509;;375;motosct;
MotoScout24 - Anibis;;;;;;;;motosct;
mtv.ch;48000;135482;90-94%;0:07:57;422883;;337;mtv;
mtv.ch - Comedycentral.tv;;;;;;;;mtv;
mtv.ch - Southpark;;;;;;;;mtv;
MySwitzerland.com;1258000;2060185;25-49%;0:03:54;5690673;;210;myswiss;
nachhaltigleben.ch;146000;186963;55-59%;0:01:58;450873;;462;nachhalt;
natuerlich-online.ch;49000;66436;25-49%;0:02:53;91126;;297;natuerli;
Neue Zürcher Zeitung;2978000;13401179;55-59%;0:04:27;45844028;;1;nzz;
newhome.ch;497000;1361931;85-89%;0:05:26;26643289;;412;newhome;
nick.ch;44000;185527;85-89%;0:17:09;802422;;331;nick;
nordagenda.ch;22000;41705;80-84%;0:02:58;116490;;306;nordagen;
Nordwestschweiz Netz;996000;4868925;85-89%;0:05:08;28754541;;369;aznetz;
Nordwestschweiz Netz - a-z.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - aargauerzeitung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - badenertagblatt.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - basellandschaftlichezeitung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - bzbasel.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - gedenkzeit.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - grenchnertagblatt.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - limmattalerzeitung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - oltnertagblatt.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - petitio.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - punktlandung.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - schweizamwochenende.ch;;;;;;;;aznetz;
Nordwestschweiz Netz - solothurnerzeitung.ch;;;;;;;;aznetz;
Öffnungszeiten.ch;224000;295260;95-100%;0:01:52;389836;;512;oeffnung;
Online PC;35000;64483;70-74%;0:03:08;130683;;486;onlinepc;
online-kiosk.ch;16000;26633;85-89%;0:03:28;64820;;325;onlineki;
partyguide.ch;63000;122906;90-94%;0:06:35;1750778;;187;partygui;
PCtipp Online;537000;1047346;25-49%;0:02:59;1928701;;182;idgpctip;
persoenlich.com;130000;302854;80-84%;0:04:18;543384;;273;persoen;
Pro7.ch;298000;566284;90-94%;0:08:12;1517564;;121;pro7;
Pro7.ch - galileo.tv;;;;;;;;pro7;
Pro7.ch - the-voice-of-germany;;;;;;;;pro7;
radio24.ch;46000;187777;85-89%;0:04:45;653653;;209;radio24;
radiomunot.ch;14000;53974;85-89%;0:04:07;111830;;353;radmunot;
radiopilatus.ch;130000;315211;90-94%;0:02:34;723818;;97;pilatus;
radiopilatus.ch - tele1;;;;;;;;pilatus;
regiolive.ch;13000;26828;85-89%;0:03:18;52028;;139;wiggert;
RFJ;95000;466223;90-94%;0:04:01;1603230;;16;rfj;
RJB;42000;185810;90-94%;0:02:50;522134;;199;rjb;
ronorp.net;208000;474203;90-94%;0:04:33;1593594;;291;ronorp;
RSI.ch;374000;2113066;70-74%;0:04:37;6835344;x;231;rtsi;
RTN;63000;225840;90-94%;0:02:56;560839;;200;rtn;
Rtr.ch;37000;134328;85-89%;0:04:49;484053;x;234;rtr;
rts.ch;1620000;12220210;75-79%;0:05:51;49847610;x;322;rts;
Sat1.ch;208000;452297;95-100%;0:08:31;1219240;;122;sat1;
sbb.ch;5361000;39939792;90-94%;0:07:28;199006210;;399;sbb;
schaffhausen.ch;25000;54508;80-84%;0:04:06;157511;;19;schaffh;
Schweizer Maschinenmarkt;25000;38320;60-64%;0:02:20;90568;;340;maschine;
schweizer-illustrierte.ch;547000;1276927;80-84%;0:02:40;5608505;;143;si;
schweizerbauer.ch;117000;434321;85-89%;0:03:19;1886652;;163;chbauer;
schweizerfamilie.ch;44000;73305;85-89%;0:04:14;176184;;225;chfamili;
search.ch;4038000;19193473;90-94%;0:04:16;56667143;;137;search;
search.ch - tel.search.ch;;;;;17'169'650;;;search;
seniorweb.ch;15000;26650;75-79%;0:04:03;54876;;405;seniorw;
shn.ch;52000;130737;75-79%;0:04:32;265958;;305;shn;
Sixx.ch;179000;250200;95-100%;0:03:50;475945;;430;sixx;
Sixx.ch - ch.fem.com;;;;;;;;sixx;
Sportal;464000;1355529;80-84%;0:03:27;4566246;;101;sportal;
Sportal - fantasysuperleague.ch;;;;;;;;sportal;
Sportal - fcb.ch;;;;;;;;sportal;
Sportal - sport.ch;;;;;;;;sportal;
Sportal - sport.ch FOOTBALLNET ;;;;;;;;sportal;
Sportal - sport.ch SLAPSHOT;;;;;;;;sportal;
Sportal - sport.ch SMASH ;;;;;;;;sportal;
Sportal - SPORT1.ch;;;;;;;;sportal;
srf.ch;4675000;37075332;85-89%;0:05:43;142829572;x;422;srf;
srgssr.ch;23000;35108;70-74%;0:02:39;80105;x;240;srg;
St. Galler Tagblatt;667000;2585492;85-89%;0:04:05;13552590;;26;tagblatt;
St. Galler Tagblatt - appenzellerzeitung.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - ostjob.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - ostschweiz-am-sonntag.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - rewardo.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - rheintaler.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - thurgauerzeitung.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - toggenburgertagblatt.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - trauerportal-ostschweiz.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - vaterland.li;;;;;2'206'908;;;tagblatt;
St. Galler Tagblatt - wilerzeitung.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - wundo.ch;;;;;;;;tagblatt;
Starticket;622000;1069583;85-89%;0:03:11;3454932;;270;startick;
students.ch;73000;124846;80-84%;0:04:12;1023269;;262;students;
Style Online;74000;102993;75-79%;0:01:29;545117;;396;sistyle;
suedostschweiz.ch;369000;1175843;85-89%;0:03:41;2867856;;80;suedost;
suedostschweiz.ch - abschied-nehmen.ch;;;;;;;;suedost;
suedostschweiz.ch - budag.ch;;;;;;;;suedost;
suedostschweiz.ch - hoefner.ch;;;;;;;;suedost;
suedostschweiz.ch - marchanzeiger.ch;;;;;;;;suedost;
suedostschweiz.ch - sarganserlaender.ch;;;;;;;;suedost;
Swiss IT Magazine;35000;74872;70-74%;0:03:25;151799;;21;infoweek;
Swiss IT Reseller;28000;60595;65-69%;0:02:45;124364;;303;itresell;
Swiss Satellite Radio;218000;1210687;25-49%;0:04:27;2090128;x;301;swissrad;
Swisscom TV Air;699000;8736529;95-100%;0:12:42;50847354;;410;tvair;
swissinfo.ch;1012000;2097452;25-49%;0:03:17;3855697;x;239;swissinf;
swissinfo.ch - people2power.info;;;;;;;;swissinf;
swissmilk.ch;943000;1822120;90-94%;0:03:08;4512819;;151;smilk;
swissmom.ch;406000;1036709;70-74%;0:04:12;3356428;;409;swissmom;
tagesanzeiger.ch;2056000;13410588;80-84%;0:06:11;62772575;;5;tagesanz;
tagesanzeiger.ch - zueritipp.ch;;;;;428;;;tagesanz;
tageswoche.ch;202000;567456;85-89%;0:04:33;1135941;;425;tagesw;
tele.ch;93000;343248;95-100%;0:03:17;1274588;;324;tele;
tele.ch - epg-wilmaa;;;;;333'335;;;tele;
tele.ch - TV-Star.ch;;;;;;;;tele;
TeleBaern.tv;32000;51026;85-89%;0:04:12;106282;;488;telebaer;
telebielingue.ch;12000;20823;90-94%;0:03:57;49029;;437;telebiel;
Teleboy.ch;417000;2378548;90-94%;0:07:34;9768074;;30;teleboy;
TeleM1.ch;39000;64718;85-89%;0:04:07;126218;;487;telem1;
teletext.ch;620000;8573140;90-94%;0:07:09;148851349;;164;teletext;
telezueri.ch;114000;237390;85-89%;0:04:59;537156;;219;telezh;
Tempslibre.ch;152000;206031;85-89%;0:02:21;510275;;171;templib;
ticinonews.ch ;252000;2341676;85-89%;0:04:40;8589572;;309;ticinews;
ticketcorner.ch;990000;1883633;85-89%;0:04:27;8386534;;333;ticketco;
Tierwelt online;62000;93732;60-64%;0:02:38;200918;;141;tierwelt;
tio.ch;507000;7192543;90-94%;0:06:04;35441921;;14;ticinonl;
tio.ch - Epaper 20minuti;;;;;11'319;;;ticinonl;
tio.ch - Site;;;;;35'160'398;;;ticinonl;
tio.ch - tuttojob.ch;;;;;;;;ticinonl;
transfermarkt.ch;206000;607382;85-89%;0:04:43;2722743;;351;transfer;
travelnews.ch;56000;105759;55-59%;0:03:57;165985;;511;traveln;
Tribune de Genève;952000;4317383;65-69%;0:03:39;13612986;;82;tdg;
Tribune de Genève - Guideloisirs.ch;;;;;170;;;tdg;
Tribune de Genève - Signegeneve.ch;;;;;;;;tdg;
tutti.ch;1823000;11689066;85-89%;0:08:34;245921561;;471;tutti;
tv24.ch;7000;11335;65-69%;0:01:47;28906;;456;tv24;
TV8;34000;114464;85-89%;0:02:42;647404;;167;tv8;
tvsvizzera.it;50000;85385;<25%;0:03:20;114868;x;450;tvsvizz;
usgang.ch;170000;390485;85-89%;0:03:41;7914060;;154;usgang;
vivatv.ch;13000;21910;85-89%;0:02:56;49076;;332;vivatv;
vornamen.ch;155000;205324;55-59%;0:02:58;522548;;432;vornamen;
watson.ch;1326000;9832473;85-89%;0:06:02;74727747;;448;watson;
weltfussball.com;82000;184344;60-64%;0:04:35;753769;;363;weltfuss;
Weltwoche;90000;149162;55-59%;0:04:14;397185;;12;weltwoch;
Wetter.com;732000;2266653;80-84%;0:02:29;5142726;;134;wetter;
wildeisen.ch;477000;912852;90-94%;0:02:53;2637466;;144;wildeis;
wilmaa.com;249000;2887902;95-100%;0:07:20;8220792;;344;wilmaa;
wireltern.ch;212000;302118;80-84%;0:01:48;1021661;;338;wirelter;
WOZ Die Wochenzeitung;100000;159084;70-74%;0:04:15;271841;;4;woz;
yousty.ch;123000;254985;90-94%;0:07:37;1568489;;472;yousty;
zattoo.com;976000;8080338;95-100%;0:11:12;25139988;;315;zattoo;
Zofinger Tagblatt online;35000;117651;90-94%;0:03:55;267137;;140;ztgb;
zsz.ch;77000;184666;85-89%;0:03:12;567789;;319;zsz;
zueriost.ch;114000;407442;90-94%;0:03:59;1018574;;491;zueriost;
zuonline.ch;48000;103185;85-89%;0:02:53;287629;;318;zuonline;



Netzwerke Angebot;Unique Clients;Visits;Page Impressions;ANID;Offer;
20 Minuten Online & Tio.ch Kombi;6'655'000;121657892;1171950858;6616;;
20 Minuten Online & Tio.ch Kombi - 20min.ch - D-CH;;;926531485;6616;20minde;
20 Minuten Online & Tio.ch Kombi - 20min.ch - W-CH;;;209977452;6616;20minro;
20 Minuten Online & Tio.ch Kombi - tio.ch;;;35441921;6616;ticinonl;
audienzz - PREMIUM Alliance;6'656'000;37581280;148558245;6638;;
audienzz - PREMIUM Alliance - cash.ch;;;12893409;6638;cash;
audienzz - PREMIUM Alliance - Corriere del Ticino;;;8976853;6638;cdt;
audienzz - PREMIUM Alliance - finews.ch;;;1157123;6638;finews;
audienzz - PREMIUM Alliance - LE TEMPS;;;7171742;6638;letemps;
audienzz - PREMIUM Alliance - Luzerner Zeitung;;;13696085;6638;lusonz;
audienzz - PREMIUM Alliance - moneyhouse;;;5054446;6638;moneyh;
audienzz - PREMIUM Alliance - Neue Zürcher Zeitung;;;45844028;6638;nzz;
audienzz - PREMIUM Alliance - Nordwestschweiz Netz;;;28754541;6638;aznetz;
audienzz - PREMIUM Alliance - St. Galler Tagblatt;;;13552590;6638;tagblatt;
audienzz - PREMIUM Alliance - suedostschweiz.ch;;;2867856;6638;suedost;
audienzz - PREMIUM Alliance - ticinonews.ch ;;;8589572;6638;ticinews;
audienzz – NEWS Alliance ;5'957'000;35346982;168327902;6646;;
audienzz – NEWS Alliance  - arcinfo.ch;;;10504688;6646;arcinfo;
audienzz – NEWS Alliance  - Bielertagblatt.ch;;;456929;6646;bielertb;
audienzz – NEWS Alliance  - Corriere del Ticino;;;8976853;6646;cdt;
audienzz – NEWS Alliance  - finews.ch;;;1157123;6646;finews;
audienzz – NEWS Alliance  - FM1Today;;;5330072;6646;fm1today;
audienzz – NEWS Alliance  - Journaldujura.ch;;;140309;6646;journal;
audienzz – NEWS Alliance  - La Côte;;;1428251;6646;lacote;
audienzz – NEWS Alliance  - La Liberté;;;6729611;6646;liberte;
audienzz – NEWS Alliance  - Le Nouvelliste;;;18144879;6646;nouvell;
audienzz – NEWS Alliance  - Luzerner Zeitung;;;13696085;6646;lusonz;
audienzz – NEWS Alliance  - Neue Zürcher Zeitung;;;45844028;6646;nzz;
audienzz – NEWS Alliance  - Nordwestschweiz Netz;;;28754541;6646;aznetz;
audienzz – NEWS Alliance  - St. Galler Tagblatt;;;13552590;6646;tagblatt;
audienzz – NEWS Alliance  - suedostschweiz.ch;;;2867856;6646;suedost;
audienzz – NEWS Alliance  - tageswoche.ch;;;1135941;6646;tagesw;
audienzz – NEWS Alliance  - ticinonews.ch ;;;8589572;6646;ticinews;
audienzz – NEWS Alliance  - zueriost.ch;;;1018574;6646;zueriost;
audienzz – NZZ-Netz;4'560'000;25856990;110045172;6610;;
audienzz – NZZ-Netz - FM1Today;;;5330072;6610;fm1today;
audienzz – NZZ-Netz - Luzerner Zeitung;;;13696085;6610;lusonz;
audienzz – NZZ-Netz - Neue Zürcher Zeitung;;;45844028;6610;nzz;
audienzz – NZZ-Netz - Nordwestschweiz Netz;;;28754541;6610;aznetz;
audienzz – NZZ-Netz - St. Galler Tagblatt;;;13552590;6610;tagblatt;
audienzz – NZZ-Netz - suedostschweiz.ch;;;2867856;6610;suedost;
AZ TV-Senderfamilie Netzwerk;183'000;354723;798562;6643;;
AZ TV-Senderfamilie Netzwerk - TeleBaern.tv;;;106282;6643;telebaer;
AZ TV-Senderfamilie Netzwerk - TeleM1.ch;;;126218;6643;telem1;
AZ TV-Senderfamilie Netzwerk - telezueri.ch;;;537156;6643;telezh;
AZ TV-Senderfamilie Netzwerk - tv24.ch;;;28906;6643;tv24;
Bieler Newsnetzwerk;119'000;262767;678177;6629;;
Bieler Newsnetzwerk - Bielertagblatt.ch;;;456929;6629;bielertb;
Bieler Newsnetzwerk - canal3.ch;;;31910;6629;canal3;
Bieler Newsnetzwerk - Journaldujura.ch;;;140309;6629;journal;
Bieler Newsnetzwerk - telebielingue.ch;;;49029;6629;telebiel;
BNJ FM;176'000;849714;2686203;6604;;
BNJ FM - RFJ;;;1603230;6604;rfj;
BNJ FM - RJB;;;522134;6604;rjb;
BNJ FM - RTN;;;560839;6604;rtn;
Carpe Media Netzwerk;591'000;853549;2221651;6636;;
Carpe Media Netzwerk - familienleben.ch;;;860282;6636;famleben;
Carpe Media Netzwerk - femelle.ch;;;910496;6636;femleb;
Carpe Media Netzwerk - nachhaltigleben.ch;;;450873;6636;nachhalt;
Das Wirtschaftsnetz;900'000;3304478;12791170;6613;;
Das Wirtschaftsnetz - bilanz.ch;;;871516;6613;bilanz;
Das Wirtschaftsnetz - finanzen.ch;;;10308719;6613;finanzen;
Das Wirtschaftsnetz - handelszeitung.ch;;;1610935;6613;handelsz;
Energy Digital;550'000;2402760;26711418;6645;;
Energy Digital - energy.ch;;;16023311;6645;energyzh;
Energy Digital - partyguide.ch;;;1750778;6645;partygui;
Energy Digital - students.ch;;;1023269;6645;students;
Energy Digital - usgang.ch;;;7914060;6645;usgang;
Gastro-pool;105'000;139371;235891;6627;;
Gastro-pool - Bonresto.ch;;;64443;6627;bonrest;
Gastro-pool - itaste.com;;;171448;6627;itaste;
GeneralMedia SA;599'000;1043317;3516210;6621;;
GeneralMedia SA - Accrowin.ch;;;791687;6621;accrowin;
GeneralMedia SA - Bonresto.ch;;;64443;6621;bonrest;
GeneralMedia SA - freizeit.ch;;;682716;6621;freizeit;
GeneralMedia SA - itaste.com;;;171448;6621;itaste;
GeneralMedia SA - loisirs.ch;;;1295641;6621;loisirs;
GeneralMedia SA - Tempslibre.ch;;;510275;6621;templib;
Loisirs & culture pool;506'000;838537;2488632;6626;;
Loisirs & culture pool - freizeit.ch;;;682716;6626;freizeit;
Loisirs & culture pool - loisirs.ch;;;1295641;6626;loisirs;
Loisirs & culture pool - Tempslibre.ch;;;510275;6626;templib;
MEDIATI;463'000;4053632;17782883;6615;;
MEDIATI - Corriere del Ticino;;;8976853;6615;cdt;
MEDIATI - Giornale del Popolo;;;216458;6615;gdp;
MEDIATI - ticinonews.ch ;;;8589572;6615;ticinews;
Meier + Cie AG;93'000;258395;651789;6606;;
Meier + Cie AG - nordagenda.ch;;;116490;6606;nordagen;
Meier + Cie AG - radiomunot.ch;;;111830;6606;radmunot;
Meier + Cie AG - schaffhausen.ch;;;157511;6606;schaffh;
Meier + Cie AG - shn.ch;;;265958;6606;shn;
Newsnet Bern;974'000;4776612;22437077;6609;;
Newsnet Bern - bernerzeitung.ch;;;12520506;6609;bernerz;
