Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
Loisirs & culture pool - loisirs.ch;;;1219859;6209;loisirs;
Loisirs & culture pool - Tempslibre.ch;;;210272;6209;templib;
MEDIATI;457'000;3918427;18495233;6198;;
MEDIATI - Corriere del Ticino;;;8433925;6198;cdt;
MEDIATI - Giornale del Popolo;;;253791;6198;gdp;
MEDIATI - ticinonews.ch ;;;9807517;6198;ticinews;
Meier + Cie AG;78'000;239168;741543;6189;;
Meier + Cie AG - nordagenda.ch;;;103364;6189;nordagen;
Meier + Cie AG - radiomunot.ch;;;148861;6189;radmunot;
Meier + Cie AG - schaffhausen.ch;;;213343;6189;schaffh;
Meier + Cie AG - shn.ch;;;275975;6189;shn;
Newsnet Bern;1'139'000;5853876;28818764;6192;;
Newsnet Bern - bernerzeitung.ch;;;16898904;6192;bernerz;
Newsnet Bern - derbund.ch;;;11919860;6192;derbund;
Newsnet D-CH;3'512'000;25865660;141811590;6188;;
Newsnet D-CH - baslerzeitung.ch;;;22504591;6188;baz;
Newsnet D-CH - bernerzeitung.ch;;;16898904;6188;bernerz;
Newsnet D-CH - derbund.ch;;;11919860;6188;derbund;
Newsnet D-CH - tagesanzeiger.ch;;;90488235;6188;tagesanz;
Newsnet F-CH;2'365'000;19379861;134355718;6207;;
Newsnet F-CH - 24heures.ch;;;16066869;6207;24heures;
Newsnet F-CH - LeMatin.ch;;;91830752;6207;lematin;
Newsnet F-CH - Tribune de Genève;;;26458097;6207;tdg;
Newsnet national;5'747'000;45022433;276167308;6206;;
Newsnet national - 24heures.ch;;;16066869;6206;24heures;
Newsnet national - baslerzeitung.ch;;;22504591;6206;baz;
Newsnet national - bernerzeitung.ch;;;16898904;6206;bernerz;
Newsnet national - derbund.ch;;;11919860;6206;derbund;
Newsnet national - LeMatin.ch;;;91830752;6206;lematin;
Newsnet national - tagesanzeiger.ch;;;90488235;6206;tagesanz;
Newsnet national - Tribune de Genève;;;26458097;6206;tdg;
NZZ-Netz;4'084'000;22400249;99998596;6193;;
NZZ-Netz - FM1Today;;;4595127;6193;fm1today;
NZZ-Netz - Luzerner Zeitung;;;13722844;6193;lusonz;
NZZ-Netz - Neue Zürcher Zeitung;;;43423125;6193;nzz;
NZZ-Netz - Nordwestschweiz Netz;;;28008941;6193;aznetz;
NZZ-Netz - St. Galler Tagblatt;;;10248559;6193;tagblatt;
PoolFéminin;402'000;700416;2788965;6202;;
PoolFéminin - annabelle.ch;;;1369773;6202;annabe;
PoolFéminin - Femina.ch;;;1419192;6202;femina;
Ringier Romandie;1'315'000;4015784;11467184;6186;;
Ringier Romandie - Hebdo;;;477799;6186;hebdo;
Ringier Romandie - Illustré;;;3959308;6186;illustre;
Ringier Romandie - LE TEMPS;;;6313680;6186;letemps;
Ringier Romandie - TV8;;;716397;6186;tv8;
Ringier/Scout24-Netzwerk;9'471'000;96764114;1200739473;6191;;
Ringier/Scout24-Netzwerk - Anibis.ch;;;100047323;6191;anibis;
Ringier/Scout24-Netzwerk - AutoScout24;;;203963543;6191;autosct;
Ringier/Scout24-Netzwerk - Blick am Abend;;;19119965;6191;baaonl;
Ringier/Scout24-Netzwerk - Blick Online;;;779164805;6191;blickonl;
Ringier/Scout24-Netzwerk - cash/borsalino.ch;;;14498594;6191;cash;
Ringier/Scout24-Netzwerk - energy.ch;;;7737495;6191;energyzh;
Ringier/Scout24-Netzwerk - glueckspost.ch;;;276372;6191;gluecksp;
Ringier/Scout24-Netzwerk - Hebdo;;;477799;6191;hebdo;
Ringier/Scout24-Netzwerk - Illustré;;;3959308;6191;illustre;
Ringier/Scout24-Netzwerk - ImmoScout24;;;54816941;6191;immosct;
Ringier/Scout24-Netzwerk - MotoScout24;;;8273207;6191;motosct;
Ringier/Scout24-Netzwerk - online-kiosk.ch;;;79383;6191;onlineki;
Ringier/Scout24-Netzwerk - schweizer-illustrierte.ch;;;7185825;6191;si;
Ringier/Scout24-Netzwerk - Style Online;;;422516;6191;sistyle;
Ringier/Scout24-Netzwerk - TV8;;;716397;6191;tv8;
ROC Online;826'000;4957740;35686545;6201;;
ROC Online - arcinfo.ch;;;8897779;6201;arcinfo;
ROC Online - Journaldujura.ch;;;181605;6201;journal;
ROC Online - La Liberté;;;7212105;6201;liberte;
ROC Online - Le Nouvelliste;;;17778987;6201;nouvell;
ROC Online - Le Quotidien Jurassien;;;1616069;6201;lqj;
Scout24-Netzwerk;5'200'000;29080472;367101014;6194;;
Scout24-Netzwerk - Anibis.ch;;;100047323;6194;anibis;
Scout24-Netzwerk - AutoScout24;;;203963543;6194;autosct;
Scout24-Netzwerk - ImmoScout24;;;54816941;6194;immosct;
Scout24-Netzwerk - MotoScout24;;;8273207;6194;motosct;
SRG SSR;6'964'000;53551281;224079563;6217;;
SRG SSR - RSI.ch;;;5630933;6217;rtsi;
SRG SSR - Rtr.ch;;;431649;6217;rtr;
SRG SSR - rts.ch;;;56021852;6217;rts;
SRG SSR - srf.ch;;;158283472;6217;srf;
SRG SSR - srgssr.ch;;;81914;6217;srg;
SRG SSR - swissinfo.ch;;;3416521;6217;swissinf;
SRG SSR - tvsvizzera.it;;;213222;6217;tvsvizz;
Tamedia Network - Full Reach;14'353'000;201352535;2217360138;6208;;
Tamedia Network - Full Reach - 20 Minuten Friday;;;4335955;6208;frimag;
Tamedia Network - Full Reach - 20 Minuten Tilllate;;;36015153;6208;tilllate;
Tamedia Network - Full Reach - 20 minutes Friday;;;1394646;6208;frimagfr;
Tamedia Network - Full Reach - 20min.ch - D-CH;;;1099342015;6208;20minde;
Tamedia Network - Full Reach - 20min.ch - W-CH;;;248810828;6208;20minro;
Tamedia Network - Full Reach - 24heures.ch;;;16066869;6208;24heures;
Tamedia Network - Full Reach - annabelle.ch;;;1369773;6208;annabe;
Tamedia Network - Full Reach - baslerzeitung.ch;;;22504591;6208;baz;
Tamedia Network - Full Reach - bernerzeitung.ch;;;16898904;6208;bernerz;
Tamedia Network - Full Reach - derbund.ch;;;11919860;6208;derbund;
Tamedia Network - Full Reach - doodle.com;;;10282453;6208;doodle;
Tamedia Network - Full Reach - Femina.ch;;;1419192;6208;femina;
Tamedia Network - Full Reach - fuw.ch;;;2518476;6208;fininfo;
Tamedia Network - Full Reach - homegate.ch;;;216853319;6208;homegate;
Tamedia Network - Full Reach - LeMatin.ch;;;91830752;6208;lematin;
Tamedia Network - Full Reach - Starticket;;;2371586;6208;startick;
Tamedia Network - Full Reach - tagesanzeiger.ch;;;90488235;6208;tagesanz;
Tamedia Network - Full Reach - tio.ch;;;42617199;6208;ticinonl;
Tamedia Network - Full Reach - Tribune de Genève;;;26458097;6208;tdg;
Tamedia Network - Full Reach - tutti.ch;;;240552690;6208;tutti;
Tamedia Network - Full Reach - zattoo.com;;;33309545;6208;zattoo;
Tamedia Network - News & Editorial;10'661'000;166655586;1666937350;6223;;
Tamedia Network - News & Editorial - 20min.ch - D-CH;;;1099342015;6223;20minde;
Tamedia Network - News & Editorial - 20min.ch - W-CH;;;248810828;6223;20minro;
Tamedia Network - News & Editorial - 24heures.ch;;;16066869;6223;24heures;
Tamedia Network - News & Editorial - baslerzeitung.ch;;;22504591;6223;baz;
Tamedia Network - News & Editorial - bernerzeitung.ch;;;16898904;6223;bernerz;
Tamedia Network - News & Editorial - derbund.ch;;;11919860;6223;derbund;
Tamedia Network - News & Editorial - LeMatin.ch;;;91830752;6223;lematin;
Tamedia Network - News & Editorial - tagesanzeiger.ch;;;90488235;6223;tagesanz;
Tamedia Network - News & Editorial - tio.ch;;;42617199;6223;ticinonl;
Tamedia Network - News & Editorial - Tribune de Genève;;;26458097;6223;tdg;
Tamedia Publications romandes;2'527'000;20082780;136516023;6185;;
Tamedia Publications romandes - 24heures.ch;;;16066869;6185;24heures;
Tamedia Publications romandes - Bilan;;;741113;6185;bilan;
Tamedia Publications romandes - Femina.ch;;;1419192;6185;femina;
Tamedia Publications romandes - LeMatin.ch;;;91830752;6185;lematin;
Tamedia Publications romandes - Tribune de Genève;;;26458097;6185;tdg;
tio.ch;542'000;7954295;43049181;6184;;
tio.ch - laRegione;;;431982;6184;regione;
tio.ch - tio.ch;;;42617199;6184;ticinonl;
TV Premium Network;2'031'000;16815103;58038614;6225;;
TV Premium Network - Teleboy.ch;;;12442860;6225;teleboy;
TV Premium Network - wilmaa.com;;;12286209;6225;wilmaa;
TV Premium Network - zattoo.com;;;33309545;6225;zattoo;
Viacom Netzwerk;101'000;324899;1305517;6227;;
Viacom Netzwerk - mtv.ch;;;419617;6227;mtv;
Viacom Netzwerk - nick.ch;;;829668;6227;nick;
Viacom Netzwerk - vivatv.ch;;;56232;6227;vivatv;
