Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
1815.ch;124000;581114;90-94%;0:03:57;1349989;;364;1815ch;
1815.ch - rz-online.ch;;;;;;;;1815ch;
1815.ch - walliserbote.ch;;;;;;;;1815ch;
20 Minuten Friday;970000;2530101;90-94%;0:02:03;3746993;;467;frimag;
20 Minuten Tilllate;1363000;4226040;90-94%;0:01:21;28781079;;79;tilllate;
20 minutes Friday;289000;863494;90-94%;0:02:39;1087334;;481;frimagfr;
20min.ch - D-CH;4879000;88593017;90-94%;0:07:07;897278475;;136;20minde;
20min.ch - W-CH;1714000;30089802;85-89%;0:07:29;225395741;;220;20minro;
24heures.ch;693000;2985974;80-84%;0:03:51;10579191;;256;24heures;
24heures.ch - Hommages.ch;;;;;;;;24heures;
3plus.tv;74000;164917;80-84%;0:04:23;478331;;400;3plus;
3plus.tv - 4plus.tv;;;;;;;;3plus;
3plus.tv - 5plus.tv;;;;;;;;3plus;
Accrowin.ch;32000;93346;90-94%;0:07:29;762711;;506;accrowin;
Accrowin.ch - schweiz-wettbewerb.ch;;;;;;;;accrowin;
annabelle.ch;210000;380954;70-74%;0:02:48;1159372;;224;annabe;
annabelle.ch - eBalance;;;;;;;;annabe;
arcinfo.ch;236000;1290852;90-94%;0:03:56;9910373;;295;arcinfo;
argovia.ch;45000;187503;90-94%;0:05:02;629058;;480;argovia;
aufeminin.ch,gofeminin.ch,alfemminile.ch;915000;1786172;95-100%;0:03:04;5320542;;320;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - alfemminile.ch ;;;;;352'363;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - aufeminin.ch;;;;;1'036'097;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - gofeminin.ch;;;;;2'645'713;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - marmiton;;;;;787'853;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - onmeda;;;;;498'512;;;aufemin;
baslerzeitung.ch;685000;4205486;75-79%;0:05:51;20147668;;13;baz;
Beobachter;971000;1546974;80-84%;0:03:33;2719920;;9;beobacht;
Beobachter - Community;;;;;;;;beobacht;
Beobachter - Gesundheit;;;;;;;;beobacht;
Beobachter - Guider;;;;;;;;beobacht;
Beobachter - Magazin;;;;;;;;beobacht;
Beobachter - Natur;;;;;;;;beobacht;
bernerzeitung.ch;683000;3128477;90-94%;0:04:08;12616221;;254;bernerz;
bernerzeitung.ch - berneroberlaender.ch    ;;;;;;;;bernerz;
bernerzeitung.ch - langenthalertagblatt.ch;;;;;;;;bernerz;
bernerzeitung.ch - thunertagblatt.ch;;;;;;;;bernerz;
Bielertagblatt.ch;75000;162818;80-84%;0:02:44;439446;;17;bielertb;
Bilan;217000;397937;50-54%;0:05:00;641012;;85;bilan;
bilanz.ch;146000;225236;70-74%;0:03:41;503997;;10;bilanz;
Blick am Abend;1073000;4220319;85-89%;0:02:48;13557856;;446;baaonl;
Blick Online;4773000;62813910;90-94%;0:06:06;819984259;;183;blickonl;
Bluewin;2451000;33248874;90-94%;0:08:27;175803968;;204;bluewin;
Bonresto.ch;11000;15147;90-94%;0:02:45;36135;;61;bonrest;
caffe.ch;20000;35409;65-69%;0:04:15;69809;;408;caffe;
canal3.ch;8000;16869;80-84%;0:03:33;31811;;436;canal3;
cash.ch;452000;3520222;85-89%;0:06:57;14960417;;115;cash;
Cineman.ch;718000;1389126;85-89%;0:03:52;5512858;;275;cineman;
Cineman.ch - cine.ch;;;;;;;;cineman;
comparis.ch;1706000;7306018;90-94%;0:06:02;83355183;;111;comparis;
Computerworld Online;39000;68125;75-79%;0:04:01;128698;;181;idgcompu;
Coopzeitung.ch;262000;453028;85-89%;0:02:43;2283113;;473;coopz;
Der Landbote;79000;213788;85-89%;0:03:51;672146;;74;winti;
derbund.ch;459000;2097995;90-94%;0:05:48;9705096;;304;derbund;
doodle.com;1273000;4027935;95-100%;0:04:24;10168197;;288;doodle;
energy.ch;260000;1440397;90-94%;0:04:27;5180774;;244;energyzh;
familienleben.ch;298000;407610;55-59%;0:02:14;789258;;339;famleben;
femelle.ch;310000;410314;25-49%;0:02:09;1488384;;461;femleb;
Femina.ch;220000;430883;50-54%;0:02:33;1337363;;180;femina;
finanzen.ch;731000;3555606;85-89%;0:05:07;15312415;;417;finanzen;
finews.ch;181000;584140;70-74%;0:04:40;1369519;;361;finews;
FIT for LIFE;16000;26979;60-64%;0:03:31;54080;;296;fitlife;
flughafen-zuerich.ch;464000;1052549;70-74%;0:05:03;2470327;;279;flughafe;
FM1Today;183000;1692562;90-94%;0:03:59;4969517;;483;fm1today;
FM1Today - Radio Melody;;;;;;;;fm1today;
freiburger-nachrichten.ch;46000;113466;85-89%;0:03:29;263903;;374;freiburg;
freizeit.ch;107000;144886;85-89%;0:02:45;353510;;505;freizeit;
fuw.ch;204000;845228;75-79%;0:05:51;2469438;;227;fininfo;
gameswelt.ch;37000;79603;95-100%;0:04:17;172386;;274;gamewelt;
