Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
1815.ch;197000;932818;85-89%;0:04:19;2278124;;364;1815ch;
1815.ch - rz-online.ch;;;;;;;;1815ch;
1815.ch - walliserbote.ch;;;;;;;;1815ch;
20 Minuten Friday;980000;2773153;90-94%;0:02:16;3917644;;467;frimag;
20 Minuten Tilllate;1247000;3667735;90-94%;0:01:15;23249086;;79;tilllate;
20 minutes Friday;301000;1038497;90-94%;0:02:53;1307098;;481;frimagfr;
20min.ch - D-CH;5237000;99897704;90-94%;0:07:08;1065908979;;136;20minde;
20min.ch - W-CH;1769000;32222755;85-89%;0:07:22;247343053;;220;20minro;
24heures.ch;733000;3343817;80-84%;0:03:50;11934027;;256;24heures;
24heures.ch - Hommages.ch;;;;;;;;24heures;
3plus.tv;78000;172402;80-84%;0:04:30;512295;;400;3plus;
3plus.tv - 4plus.tv;;;;;;;;3plus;
3plus.tv - 5plus.tv;;;;;;;;3plus;
Accrowin.ch;27000;89612;90-94%;0:07:48;745176;;506;accrowin;
Accrowin.ch - schweiz-wettbewerb.ch;;;;;;;;accrowin;
annabelle.ch;205000;345802;70-74%;0:02:05;1161458;;224;annabe;
annabelle.ch - eBalance;;;;;;;;annabe;
arcinfo.ch;163000;1045479;90-94%;0:04:14;9298311;;295;arcinfo;
argovia.ch;48000;201992;90-94%;0:05:03;731903;;480;argovia;
aufeminin.ch,gofeminin.ch,alfemminile.ch;991000;1979366;95-100%;0:02:50;6726145;;320;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - alfemminile.ch ;;;;;389'544;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - aufeminin.ch;;;;;1'120'849;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - gofeminin.ch;;;;;3'923'596;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - marmiton;;;;;712'111;;;aufemin;
aufeminin.ch,gofeminin.ch,alfemminile.ch - onmeda;;;;;580'040;;;aufemin;
baslerzeitung.ch;720000;4665277;75-79%;0:05:52;23994743;;13;baz;
Beobachter;1007000;1622706;80-84%;0:03:46;2732849;;9;beobacht;
Beobachter - Community;;;;;;;;beobacht;
Beobachter - Gesundheit;;;;;;;;beobacht;
Beobachter - Guider;;;;;;;;beobacht;
Beobachter - Magazin;;;;;;;;beobacht;
Beobachter - Natur;;;;;;;;beobacht;
bernerzeitung.ch;742000;3477026;90-94%;0:03:52;16044742;;254;bernerz;
bernerzeitung.ch - berneroberlaender.ch    ;;;;;;;;bernerz;
bernerzeitung.ch - langenthalertagblatt.ch;;;;;;;;bernerz;
bernerzeitung.ch - thunertagblatt.ch;;;;;;;;bernerz;
Bielertagblatt.ch;79000;178573;85-89%;0:02:52;546547;;17;bielertb;
Bilan;244000;459408;50-54%;0:04:01;740754;;85;bilan;
bilanz.ch;157000;260734;70-74%;0:02:24;586221;;10;bilanz;
Blick am Abend;1251000;4968480;85-89%;0:02:51;15809556;;446;baaonl;
